Date,Region,Channel,Display name,Views,Unique users,Unique users (7 days),Unique users (30 days),Popularity,Comments,Favorites,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Subscriptions,Unsubscriptions
2015-03-23,AE,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,3,5,0,0,0,0,0,0,0,0,0,0
2015-03-23,AR,98x5I1LVPhtnUHDyujq7zg,Roshan,10,1,5,17,0,0,0,0,0,0,0,1,0,0
2015-03-23,AT,98x5I1LVPhtnUHDyujq7zg,Roshan,2,2,5,15,0,0,0,0,0,0,0,0,0,0
2015-03-23,AU,98x5I1LVPhtnUHDyujq7zg,Roshan,9,2,11,51,0,0,0,0,0,0,0,0,0,0
2015-03-23,BD,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,2,7,0,0,0,0,0,0,0,0,0,0
2015-03-23,BE,98x5I1LVPhtnUHDyujq7zg,Roshan,2,1,2,18,0,0,0,0,0,0,0,0,0,0
2015-03-23,BG,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2015-03-23,BH,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-03-23,BO,98x5I1LVPhtnUHDyujq7zg,Roshan,1,0,0,3,0,0,0,0,0,0,0,1,0,0
2015-03-23,BR,98x5I1LVPhtnUHDyujq7zg,Roshan,9,5,25,67,0,0,0,0,0,0,0,0,0,0
2015-03-23,BY,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-23,CA,98x5I1LVPhtnUHDyujq7zg,Roshan,8,4,26,83,0,0,0,0,0,0,0,0,0,0
2015-03-23,CH,98x5I1LVPhtnUHDyujq7zg,Roshan,3,2,8,20,0,0,0,0,0,0,0,0,0,0
2015-03-23,CL,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,5,13,0,0,0,0,0,0,0,0,0,0
2015-03-23,CN,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2015-03-23,CO,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,6,28,0,0,0,0,0,0,0,0,0,0
2015-03-23,CR,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-23,CZ,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,3,13,0,0,0,0,0,0,0,0,0,0
2015-03-23,DE,98x5I1LVPhtnUHDyujq7zg,Roshan,9,5,54,175,0,0,0,0,0,0,0,0,0,0
2015-03-23,DK,98x5I1LVPhtnUHDyujq7zg,Roshan,3,2,5,27,0,0,0,0,0,0,0,0,0,0
2015-03-23,DZ,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,3,10,0,0,0,0,0,0,0,0,0,0
2015-03-23,EC,98x5I1LVPhtnUHDyujq7zg,Roshan,2,1,1,3,0,0,0,0,0,0,0,0,0,0
2015-03-23,EE,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-03-23,EG,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2015-03-23,ES,98x5I1LVPhtnUHDyujq7zg,Roshan,4,2,19,53,0,0,0,0,0,0,0,0,0,0
2015-03-23,FI,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2015-03-23,FR,98x5I1LVPhtnUHDyujq7zg,Roshan,6,4,17,58,0,0,0,0,0,0,0,0,0,0
2015-03-23,GB,98x5I1LVPhtnUHDyujq7zg,Roshan,3,3,32,159,0,0,0,0,0,0,0,0,0,0
2015-03-23,GE,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-03-23,GH,98x5I1LVPhtnUHDyujq7zg,Roshan,0,0,2,5,0,0,0,0,0,0,0,0,0,0
2015-03-23,GR,98x5I1LVPhtnUHDyujq7zg,Roshan,9,1,2,15,0,0,2,0,0,0,0,0,0,0
